"ID","Name","Solubility","SMILES Canonical","Smiles (Optimized Geometry)","Energy","Smiles","SlogP","TPSA","ExactMW","NumLipinskiHBA","NumLipinskiHBD","NumRotatableBonds","NumHBD","NumHBA","NumAmideBonds","NumHeteroAtoms","NumHeavyAtoms","NumAtoms","NumStereocenters","NumRings","NumAromaticRings","NumSaturatedRings","NumAliphaticRings","NumAromaticHeterocycles","NumSaturatedHeterocycles","NumAliphaticHeterocycles","NumAromaticCarbocycles","NumSaturatedCarbocycles","NumAliphaticCarbocycles","FractionCSP3"
"A-4","Benzo[cd]indol-2(1H)-one",-3.2547670983,"O=C1Nc2cccc3cccc1c23","O=C1Nc2cccc3cccc1c23",42.4190552328301,"O=c1[nH]c2cccc3cccc1c23",2.405500000000001,29.1,169.052763844,2,1,0,1,1,1,2,13,20,0,3,2,0,1,0,0,1,2,0,0,0
"A-9","4-({4-[bis(oxiran-2-ylmethyl)amino]phenyl}methyl)-N,N-bis(oxiran-2-ylmethyl)aniline",-4.6620645831,"c1cc(N(CC2CO2)CC2CO2)ccc1Cc1ccc(N(CC2CO2)CC2CO2)cc1","c1cc(N(CC2CO2)CC2CO2)ccc1Cc1ccc(N(CC2CO2)CC2CO2)cc1",70.2538340120592,"c1cc(N(CC2CO2)CC2CO2)ccc1Cc1ccc(N(CC2CO2)CC2CO2)cc1",2.4854000000000003,56.6,422.22055743999994,6,0,12,0,6,0,6,31,61,4,6,2,4,4,0,4,4,2,0,0,0.52
"A-10","vinyltoluene",-3.1231503041,"C=Cc1cccc(C)c1","C=Cc1cccc(C)c1",16.377492822851494,"C=Cc1cccc(C)c1",2.638020000000001,0,118.07825032,0,0,1,0,0,0,0,9,19,0,1,1,0,0,0,0,0,1,0,0,0.1111111111111111
"A-11","3-(3-ethylcyclopentyl)propanoic acid",-3.286116314,"CCC1CCC(CCC(=O)[O-])C1","CCC1CCC(CCC(=O)[O-])C1",13.452522517120187,"CCC1CCC(CCC(=O)[O-])C1",1.3428,40.129999999999995,169.12340336391,2,0,4,0,2,0,2,12,29,2,1,0,1,1,0,0,0,0,1,1,0.9
"A-12","11,16,17,21-tetrahydroxypregna-1,4-diene-3,20-dione",-2.6645485391,"CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CC(O)C2(O)C(=O)CO","CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CC(O)C2(O)C(=O)CO",95.73664892841086,"CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CC(O)C2(O)C(=O)CO",0.5284,115.06000000000002,376.1885886159999,6,4,2,4,6,0,6,27,55,8,4,0,3,4,0,0,0,0,3,4,0.7142857142857143
"A-14","bis(4-fluorophenyl)methanone",-4.3966521847,"O=C(c1ccc(F)cc1)c1ccc(F)cc1","O=C(c1ccc(F)cc1)c1ccc(F)cc1",41.295695611860545,"O=C(c1ccc(F)cc1)c1ccc(F)cc1",3.195800000000002,17.07,218.054321316,1,0,2,0,1,0,3,16,24,0,2,2,0,0,0,0,0,2,0,0,0
"A-15","1-[2-(benzoyloxy)propoxy]propan-2-yl benzoate 1-{[1-(benzoyloxy)propan-2-yl]oxy}propan-2-yl benzoate 2-{[1-(benzoyloxy)propan-2-yl]oxy}propyl benzoate",-4.595502564,"O=C(OCCCOCCCOC(=O)c1ccccc1)c1ccccc1","O=C(OCCCOCCCOC(=O)c1ccccc1)c1ccccc1",11.592226657479946,"O=C(OCCCOCCCOC(=O)c1ccccc1)c1ccccc1",3.497200000000002,61.830000000000005,342.14672380400003,5,0,10,0,5,0,5,25,47,0,2,2,0,0,0,0,0,2,0,0,0.3
"A-17","4-(dimethylamino)benzaldehyde",-2.2827688499,"CN(C)c1ccc(C=O)cc1","CN(C)c1ccc(C=O)cc1",25.056975196065867,"CN(C)c1ccc(C=O)cc1",1.5651,20.310000000000002,149.084063972,2,0,2,0,2,0,2,11,22,0,1,1,0,0,0,0,0,1,0,0,0.2222222222222222
"A-18","2-methyl-1-phenylpropan-2-yl acetate",-2.3946499685,"CC(=O)OC(C)(C)Cc1ccccc1","CC(=O)OC(C)(C)Cc1ccccc1",15.501683405628318,"CC(=O)OC(C)(C)Cc1ccccc1",2.570800000000001,26.3,192.115029752,2,0,3,0,2,0,2,14,30,0,1,1,0,0,0,0,0,1,0,0,0.4166666666666667
"A-21","2-(4-tert-butylphenoxymethyl)oxirane",-3.4302388798,"CC(C)(C)c1ccc(OCC2CO2)cc1","CC(C)(C)c1ccc(OCC2CO2)cc1",29.974487153872044,"CC(C)(C)c1ccc(OCC2CO2)cc1",2.761700000000001,21.759999999999998,206.130679816,2,0,3,0,2,0,2,15,33,1,2,1,1,1,0,1,1,1,0,0,0.5384615384615384
